Accession,Geo_Location,Collection_Date
QPB41326,USA: MD,2020-10-16
QPB41338,USA: MD,2020-10-19
QPB41350,USA: MD,2020-10-19
QPB41362,USA: MD,2020-10-19
QPB41374,USA: MD,2020-10-20
QPB41386,USA: MD,2020-10-20
QPB45542,USA: Minnesota,2020-10-10
QPB45554,USA: Minnesota,2020-10-13
QPB45566,USA: Minnesota,2020-10-23
QPB45578,USA: Minnesota,2020-10-24
QPB45590,USA: Minnesota,2020-10-24
QPB45602,USA: Minnesota,2020-10-24
QPB45614,USA: Minnesota,2020-10-24
QPB45626,USA: Minnesota,2020-10-24
QPB45638,USA: Minnesota,2020-10-25
QPB45650,USA: Minnesota,2020-10-25
QPB45662,USA: Minnesota,2020-10-25
QPB45674,USA: Minnesota,2020-10-25
QPB45686,USA: Minnesota,2020-10-25
QPB45698,USA: Minnesota,2020-10-25
QPB45710,USA: Minnesota,2020-10-25
QPB45722,USA: Minnesota,2020-10-25
QPB45734,USA: Minnesota,2020-10-25
QPB45746,USA: Minnesota,2020-10-25
QPB45758,USA: Minnesota,2020-10-25
QPB45770,USA: Minnesota,2020-10-21
QPB45782,USA: Minnesota,2020-10-27
QPB45794,USA: Minnesota,2020-10-27
QPB45806,USA: Minnesota,2020-10-26
QPB45818,USA: Minnesota,2020-10-27
QPB45830,USA: Minnesota,2020-10-27
QPB45842,USA: Minnesota,2020-10-27
QPB45854,USA: Minnesota,2020-10-22
QPB45866,USA: Minnesota,2020-10-22
QPB45878,USA: Minnesota,2020-10-28
QPB45890,USA: Minnesota,2020-10-28
QPB45902,USA: Minnesota,2020-10-28
QPB45914,USA: Minnesota,2020-10-28
QPB45926,USA: Minnesota,2020-10-29
QPB45938,USA: Minnesota,2020-10-29
QPB45950,USA: Minnesota,2020-10-29
QPB45962,USA: Minnesota,2020-10-29
QPB45974,USA: Minnesota,2020-10-29
QPB45986,USA: Minnesota,2020-10-29
QPB17920,"India: Gujarat, Fatepura",2020-07-18
QPB17944,Bahrain,2020-10-14
QPB17956,Bahrain,2020-10-14
QPB17968,Bahrain,2020-10-14
QPB17980,Bahrain,2020-10-14
QPB17992,"India: Gujarat, Dahod",2020-07-18
QPB18004,Bahrain,2020-10-02
QPB18016,"India: Gujarat, Dahod",2020-07-18
QPB18028,"India: Gujarat, Kalyanpur",2020-07-11
QPB18040,Pakistan,2020-06-02
QPB18052,"India: Gujarat, Godhra",2020-07-18
QPB18064,"India: Gujarat, Kalyanpur",2020-07-11
QPB18076,"India: Gujarat, Godhra",2020-07-18
QPB18088,"India: Gujarat, Sutrapada",2020-07-14
QPB18100,"India: Gujarat, Sutrapada",2020-07-14
QPB18112,"India: Gujarat, Sutrapada",2020-07-14
QPB18124,"India: Gujarat, Sutrapada",2020-07-14
QPB18136,"India: Gujarat, Veraval",2020-07-14
QPB18148,Bahrain,2020-10-14
QPB18160,"India: Gujarat, Veraval",2020-07-14
QPB18172,Bahrain,2020-10-14
QPB18184,Bahrain,2020-10-14
QPB18196,"India: Gujarat, Talala",2020-07-14
QPB18208,"India: Gujarat, Talala",2020-07-14
QPB39982,"India: Gujarat, Una",2020-07-14
QPB39994,"India: Gujarat, Sutrapada",2020-07-14
QPB40006,"India: Gujarat, Sutrapada",2020-07-14
QOT69847,"Peru: Lambayeque, Chiclayo",2020-04-10
QOT69859,"Peru: Lambayeque, La Victoria",2020-04-08
QOT69871,"Peru: Lambayeque, Monsefu",2020-04-07
QOT69883,"Peru: Lambayeque, Jose Leonardo Ortiz",2020-04-10
QOT69895,"Peru: Lambayeque, Lambayeque",2020-04-12
QPA20102,Israel,2020-07-14
QPA20114,Bahrain,2020-10-14
QPA20126,Bahrain,2020-10-14
QPA20138,Bahrain,2020-10-14
QPA20150,Bahrain,2020-10-14
QPA20162,Bahrain,2020-10-14
QPA20174,Bahrain,2020-10-14
QPA20186,Bahrain,2020-10-14
QPA20210,Bahrain,2020-10-14
QPA20243,Bahrain,2020-10-14
QPA20255,Bahrain,2020-10-14
QPB12767,USA: MD,2020-10-05
QPB12779,USA: MD,2020-10-06
QPB12791,USA: MD,2020-10-06
QPB12815,USA: MD,2020-10-05
QPB12827,USA: MD,2020-10-13
QPB12839,USA: MD,2020-10-13
QPB12851,USA: MD,2020-10-13
QPB12863,USA: MD,2020-10-13
QPB12875,USA: MD,2020-10-13
QPB12887,USA: MD,2020-10-13
QPB12899,USA: MD,2020-10-13
QPB12911,USA: MD,2020-10-13
QPB12923,USA: MD,2020-10-13
QPB12935,USA: MD,2020-10-13
QPB12947,USA: MD,2020-10-13
QPB12959,USA: MD,2020-10-13
QPB12971,USA: MD,2020-10-13
QPB12983,USA: MD,2020-10-13
QPB12995,USA: MD,2020-10-13
QPB13007,USA: MD,2020-10-13
QPB13019,USA: MD,2020-10-13
QPB13031,USA: MD,2020-10-13
QPB13043,USA: MD,2020-10-13
QPB13055,USA: MD,2020-10-13
QPB13067,USA: MD,2020-10-13
QPB13079,USA: MD,2020-10-13
QPB13091,USA: MD,2020-10-13
QPB13103,USA: MD,2020-10-13
QPB13115,USA: MD,2020-10-12
QPB13127,USA: MD,2020-10-12
QPB13139,USA: MD,2020-10-13
QPB13151,USA: MD,2020-10-13
QPB13163,USA: MD,2020-10-12
QPB13175,USA: MD,2020-10-12
QPB13187,USA: MD,2020-10-14
QPB13199,USA: MD,2020-10-14
QPB13211,USA: MD,2020-10-13
QPB13223,USA: MD,2020-10-13
QPB13235,USA: MD,2020-10-13
QPB13247,USA: MD,2020-10-14
QPB13259,USA: MD,2020-10-12
QPB13271,USA: MD,2020-10-14
QPB13283,USA: MD,2020-10-14
QPB13295,USA: MD,2020-10-14
QPB13526,USA: Utah,2020-04-09
QPB13550,USA: Utah,2020-04-05
QPB13622,USA: Utah,2020-10-01
QPB13634,USA: Utah,2020-04-06
QPB13754,USA: Utah,2020-04-09
QPB13778,USA: Utah,2020-04-01
QPB13898,USA: Utah,2020-04-09
QPB13922,USA: Utah,2020-04-03
QPB13934,USA: Utah,2020-04-04
QPB14054,USA: Utah,2020-05-12
QPB14150,USA: Utah,2020-05-13
QPB14186,USA: Utah,2020-05-12
QPB14222,USA: Utah,2020-05-13
QPB14354,USA: Utah,2020-05-13
QPB14630,USA: Utah,2020-10-05
QOY98739,Bahrain,2020-07-05
QOY98751,Bahrain,2020-08-17
QOY98763,Bahrain,2020-08-25
QOY98775,Bahrain,2020-10-04
QOY98787,Bahrain,2020-06-19
QOY98799,Bahrain,2020-06-21
QOY98811,Bahrain,2020-07-26
QOY98835,Israel,2020-06-14
QOY99387,USA: New Mexico,2020-08-24
QOY99399,USA: New Mexico,2020-08-24
QOY99423,USA: New Mexico,2020-08-24
QOY99435,USA: New Mexico,2020-08-24
QOY99447,USA: New Mexico,2020-08-24
QOY99459,USA: New Mexico,2020-08-24
QOY99471,USA: New Mexico,2020-08-24
QOY99483,USA: New Mexico,2020-08-24
QOY99495,USA: New Mexico,2020-08-24
QOY99507,USA: New Mexico,2020-08-24
QOY99519,USA: New Mexico,2020-08-24
QOY99531,USA: New Mexico,2020-08-24
QOY99543,USA: New Mexico,2020-08-24
QOY99555,USA: New Mexico,2020-08-24
QOY99567,USA: New Mexico,2020-08-24
QOY99591,USA: New Mexico,2020-08-24
QOY99603,USA: New Mexico,2020-08-24
QOY99615,USA: New Mexico,2020-08-24
QOY99627,USA: New Mexico,2020-08-24
QOY99639,USA: New Mexico,2020-08-24
QOY99651,USA: New Mexico,2020-08-24
QOY99663,USA: New Mexico,2020-08-24
QOY99675,USA: New Mexico,2020-08-24
QOY99687,USA: New Mexico,2020-08-24
QOY99699,USA: New Mexico,2020-08-24
QOY99723,USA: New Mexico,2020-08-24
QOY99735,USA: New Mexico,2020-08-24
QOY99747,USA: New Mexico,2020-08-24
QOY99759,USA: New Mexico,2020-08-24
QOY99771,USA: New Mexico,2020-08-24
QOY99783,USA: New Mexico,2020-08-24
QOY99795,USA: New Mexico,2020-08-24
QOY99819,USA: New Mexico,2020-08-24
QOY99831,USA: New Mexico,2020-08-24
QOY99843,USA: New Mexico,2020-08-24
QOY99855,USA: New Mexico,2020-08-24
QOY99867,USA: New Mexico,2020-08-25
QOY99879,USA: New Mexico,2020-08-24
QOY99891,USA: New Mexico,2020-08-24
QOY99903,USA: New Mexico,2020-08-21
QOY99915,USA: New Mexico,2020-08-25
QOY99927,Bahrain,2020-10-14
QOY99939,Bahrain,2020-10-13
QOY99951,Bahrain,2020-10-14
QOY99963,Bahrain,2020-10-14
QOY99975,Bahrain,2020-10-14
QOY99987,Bahrain,2020-10-14
QOY99999,Bahrain,2020-10-14
QOZ00012,Bahrain,2020-10-14
QOZ00024,Bahrain,2020-10-14
QOZ00036,Bahrain,2020-10-14
QOZ00048,Bahrain,2020-10-14
QOZ00060,Bahrain,2020-10-14
QOZ00072,Bahrain,2020-10-14
QOZ00084,Bahrain,2020-10-14
QOZ00096,Bahrain,2020-10-14
QOZ00120,Bahrain,2020-07-25
QOZ00132,Bahrain,2020-05-31
QPA18455,India,2020-05-10
QPA18463,USA,2020-07-22
QOY79239,Bahrain,2020-08-28
QOY79251,Bahrain,2020-08-25
QOY79263,Bahrain,2020-07-09
QOY79275,Bahrain,2020-09-27
QOY79287,Bahrain,2020-10-02
QOY79299,Bahrain,2020-10-01
QOY98721,Israel,2020-07-27
QOX07617,USA: Virginia,2020-09
QOX07629,USA: Virginia,2020-09
QOX07641,USA: Virginia,2020-09
QOX07653,USA: Virginia,2020-09
QOX07665,USA: Virginia,2020-09
QOX07677,USA: Virginia,2020-09
QOX07689,USA: Virginia,2020-09
QOX07701,USA: Virginia,2020-09
QOX07725,USA: Virginia,2020-09
QOX07737,USA: Virginia,2020-09
QOX07749,USA: Virginia,2020-09
QOX07761,USA: Virginia,2020-09
QOX07785,USA: Virginia,2020-10
QOX07797,USA: Virginia,2020-10
QOX07809,USA: Virginia,2020-10
QOX07821,USA: Virginia,2020-10
QOX07833,USA: Virginia,2020-10
QOX07845,USA: Virginia,2020-10
QOX07857,USA: Virginia,2020-10
QOX07869,USA: Virginia,2020-10
QOX07881,USA: Virginia,2020-10
QOX07893,USA: Virginia,2020-10
QOX07905,USA: Virginia,2020-10
QOX07917,USA: Virginia,2020-10
QOX07929,USA: Virginia,2020-10
QOX07941,USA: Virginia,2020-10
QOX07953,USA: Virginia,2020-08
QOX07965,USA: Virginia,2020-08
QOX07989,USA: Virginia,2020-08
QOX08013,USA: Virginia,2020-08
QOX08037,USA: Virginia,2020-08
QOX08049,USA: Virginia,2020-08
QOX08061,USA: Virginia,2020-08
QOX08073,USA: Virginia,2020-08
QOX08085,USA: Virginia,2020-08
QOX08097,USA: Virginia,2020-08
QOX08109,USA: Virginia,2020-08
QOX08121,USA: Virginia,2020-08
QOX08145,USA: Virginia,2020-08
QOX08157,USA: Virginia,2020-08
QOX08169,USA: Virginia,2020-08
QOX08181,USA: Virginia,2020-08
QOX08193,USA: Virginia,2020-08
QOX08205,USA: Virginia,2020-08
QOX08217,USA: Virginia,2020-08
QOX08229,USA: Virginia,2020-08
QOX08241,USA: Virginia,2020-08
QOX08253,USA: Virginia,2020-08
QOX08265,USA: Virginia,2020-08
QOX08277,USA: Virginia,2020-08
QOX08289,USA: Virginia,2020-08
QOX08301,USA: Virginia,2020-08
QOX08313,USA: Virginia,2020-08
QOX08325,USA: Virginia,2020-08
QOX08337,USA: Virginia,2020-08
QOX08349,USA: Virginia,2020-09
QOX08361,USA: Virginia,2020-09
QOX08373,USA: Virginia,2020-09
QOX08385,USA: Virginia,2020-09
QOX08397,USA: Virginia,2020-09
QOX08409,USA: Virginia,2020-09
QOX08421,USA: Virginia,2020-09
QOX08433,USA: Virginia,2020-09
QOX08445,USA: Virginia,2020-09
QOX08457,USA: Virginia,2020-09
QOX08469,USA: Virginia,2020-09
QOX08481,USA: Virginia,2020-09
QOX08493,USA: Virginia,2020-09
QOX08505,USA: Virginia,2020-09
QOX08529,USA: Virginia,2020-10
QOX08541,USA: Virginia,2020-09
QOX08553,USA: Virginia,2020-10
QOX08565,USA: Virginia,2020-10
QOX08577,USA: Virginia,2020-10
QOX08589,USA: Virginia,2020-10
QOY24993,Japan: Tokyo,2020-02-01
QOY43982,"USA: Montana, Ravalli county",2020-08-30
QOY44134,USA,2020-03-26
QOW78587,USA: Virginia,2020-07
QOW78599,USA: Virginia,2020-07
QOW78611,USA: Virginia,2020-07
QOW78623,USA: Virginia,2020-07
QOW78635,USA: Virginia,2020-07
QOW78647,USA: Virginia,2020-07
QOW78659,USA: Virginia,2020-07
QOW78671,USA: Virginia,2020-07
QOW78683,USA: Virginia,2020-07
QOW78695,USA: Virginia,2020-07
QOW78707,USA: Virginia,2020-07
QOW78719,USA: Virginia,2020-07
QOW78731,USA: Virginia,2020-07
QOW78743,USA: Virginia,2020-07
QOW78755,USA: Virginia,2020-07
QOW78767,USA: Virginia,2020-07
QOW78779,USA: Virginia,2020-07
QOW78791,USA: Virginia,2020-07
QOW78803,USA: Virginia,2020-07
QOW78815,USA: Virginia,2020-07
QOW78827,USA: Virginia,2020-07
QOW78839,USA: Virginia,2020-07
QOW78851,USA: Virginia,2020-07
QOW78863,USA: Virginia,2020-07
QOW78875,USA: Virginia,2020-07
QOW78887,USA: Virginia,2020-07
QOW78899,USA: Virginia,2020-07
QOW78911,USA: Virginia,2020-07
QOW78923,USA: Virginia,2020-07
QOW78935,USA: Virginia,2020-07
QOW78956,USA,2020-05-19
QOW78968,USA,2020-05-22
QOW78980,USA,2020-05-19
QOW78992,USA,2020-05-20
QOW79004,USA,2020-05-21
QOW79016,USA,2020-05-26
QOW79028,USA,2020-05-26
QOW79040,USA,2020-05-21
QOW79052,USA,2020-05-21
QOW79064,USA,2020-05-24
QOW79076,USA,2020-05-13
QOW79088,USA,2020-05-14
QOW79100,USA,2020-05-15
QOW79112,USA,2020-05-12
QOW79124,USA,2020-05-14
QOW79136,USA,2020-05-26
QOW79148,USA,2020-05-13
QOW79160,USA,2020-05-15
QOW79172,USA,2020-05-14
QOW79184,USA,2020-05-12
QOW79196,USA,2020-05-14
QOW79208,USA,2020-05-15
QOW79220,USA,2020-05-12
QOW79232,USA,2020-05-12
QOW79244,USA,2020-05-13
QOW79256,USA,2020-05-13
QOW79268,USA,2020-05-20
QOW79280,USA,2020-05-19
QOW79292,USA,2020-05-26
QOW79304,USA,2020-05-13
QOW79316,USA,2020-05-15
QOW79328,USA,2020-05-12
QOW79340,USA,2020-05-26
QOW79352,USA,2020-05-13
QOW79364,USA,2020-05-15
QOW79376,USA,2020-05-20
QOW79388,USA,2020-05-26
QOW79400,USA,2020-05-15
QOW79412,USA,2020-05-20
QOW79424,USA,2020-05-26
QOW79436,USA,2020-05-15
QOW79448,USA,2020-05-13
QOW79460,USA,2020-05-20
QOW79472,USA,2020-05-13
QOW79484,USA,2020-05-12
QOW79496,USA,2020-05-13
QOW79508,USA,2020-05-20
QOW79520,USA,2020-05-13
QOW79532,USA,2020-05-20
QOW79544,USA,2020-05-13
QOW79556,USA,2020-05-20
QOW79568,USA,2020-05-19
QOW79580,USA,2020-05-19
QOW79592,USA,2020-05-22
QOW79604,USA,2020-05-21
QOW79616,USA,2020-05-20
QOW79628,USA,2020-05-26
QOW79640,USA,2020-05-20
QOW79652,USA,2020-05-21
QOW79664,USA,2020-05-19
QOW79676,USA,2020-05-19
QOW79688,USA,2020-05-21
QOW79700,USA,2020-05-22
QOW79712,USA,2020-05-18
QOW79724,USA,2020-05-18
QOW79736,USA,2020-05-18
QOW79748,USA,2020-05-18
QOW79760,USA,2020-05-18
QOW79772,USA,2020-05-18
QOW79784,USA,2020-05-18
QOW79796,USA,2020-05-17
QOW79808,USA,2020-05-18
QOW79820,USA,2020-05-20
QOW79832,USA,2020-05-18
QOW79844,USA,2020-05-18
QOW79856,USA,2020-05-18
QOW79868,USA,2020-05-19
QOW79880,USA,2020-05-18
QOW79892,USA,2020-05-26
QOW79904,USA,2020-05-07
QOW79916,USA,2020-05-18
QOW79928,USA,2020-05-07
QOW79940,USA,2020-05-24
QOW79952,USA,2020-05-26
QOW79964,USA,2020-05-19
QOW79976,USA,2020-05-26
QOW79988,USA,2020-05-18
QOW80000,USA,2020-05-26
QOW80012,USA,2020-05-24
QOW80024,USA,2020-05-21
QOW80036,USA,2020-05-21
QOW80048,USA,2020-05-19
QOW80060,USA,2020-05-19
QOW80072,USA,2020-05-20
QOW80084,USA,2020-05-19
QOW80096,USA,2020-05-08
QOW80108,USA,2020-05-08
QOW80120,USA,2020-05-26
QOW80132,USA,2020-05-26
QOW80144,USA,2020-05-24
QOW80156,USA,2020-05-07
QOW80168,USA,2020-05-26
QOW80180,USA,2020-05-26
QOW80192,USA,2020-05-09
QOW80204,USA,2020-05-12
QOW80216,USA,2020-05-26
QOW80228,USA,2020-05-26
QOW80240,USA,2020-05-08
QOW80252,USA,2020-05-08
QOW80264,USA,2020-05-08
QOW80276,USA,2020-05-26
QOW80288,USA,2020-05-21
QOW80300,USA,2020-05-17
QOW80312,USA,2020-05-18
QOW80324,USA,2020-05-21
QOW80336,USA,2020-05-26
QOW80348,USA,2020-06-01
QOW80360,USA,2020-05-20
QOW80372,USA,2020-06-01
QOW80384,USA,2020-05-29
QOW80396,USA,2020-06-01
QOW80408,USA,2020-05-23
QOW80420,USA,2020-05-22
QOW80432,USA,2020-05-29
QOW80444,USA,2020-05-23
QOW80456,USA,2020-05-22
QOW80468,USA,2020-05-17
QOW80480,USA,2020-05-25
QOW80492,USA,2020-05-26
QOW80504,USA,2020-05-31
QOW80516,USA,2020-05-29
QOW80528,USA,2020-05-23
QOW80540,USA,2020-05-29
QOW80552,USA,2020-05-29
QOW80564,USA,2020-05-29
QOW80576,USA,2020-05-29
QOW80588,USA,2020-05-29
QOW80600,USA,2020-05-22
QOW80612,USA,2020-05-23
QOW80624,USA,2020-06-01
QOW80636,USA,2020-06-01
QOW80648,USA,2020-06-01
QOW80660,USA,2020-05-29
QOW80672,USA,2020-06-01
QOW80684,USA,2020-06-01
QOW80696,USA,2020-06-01
QOW80708,USA,2020-05-22
QOW80720,USA,2020-06-01
QOW80732,USA,2020-05-28
QOW80744,USA,2020-05-27
QOW80756,USA,2020-05-26
QOW80768,USA,2020-05-28
QOW80780,USA,2020-05-28
QOW80792,USA,2020-05-12
QOW80804,USA,2020-05-22
QOW80816,USA,2020-05-26
QOW80828,USA,2020-05-26
QOW80840,USA,2020-05-28
QOW80852,USA,2020-05-23
QOW80864,USA,2020-05-28
QOW80876,USA,2020-05-27
QOW80888,USA,2020-05-28
QOW80900,USA,2020-05-28
QOW80912,USA,2020-05-27
QOW80924,USA,2020-05-11
QOW80936,USA,2020-05-11
QOW80948,USA,2020-05-11
QOW80960,USA,2020-05-13
QOW80972,USA,2020-05-13
QOW80984,USA,2020-05-11
QOW80996,USA,2020-05-14
QOW81008,USA,2020-05-14
QOW81020,USA,2020-05-11
QOW81032,USA,2020-05-15
QOW81044,USA,2020-05-11
QOW81056,USA,2020-05-11
QOW81068,USA,2020-05-11
QOW81080,USA,2020-05-27
QOW81092,USA,2020-05-11
QOW81104,USA,2020-05-11
QOW81116,USA,2020-05-11
QOW81128,USA,2020-05-11
QOW81140,USA,2020-05-11
QOW81152,USA,2020-05-14
QOW81164,USA,2020-05-14
QOW81176,USA,2020-05-13
QOW81188,USA,2020-05-12
QOW81200,USA,2020-05-11
QOW81212,USA,2020-05-13
QOW81224,USA,2020-05-12
QOW81236,USA,2020-05-11
QOW81248,USA,2020-05-11
QOW81260,USA,2020-05-12
QOW81272,USA,2020-05-14
QOW81284,USA,2020-05-11
QOW81296,USA,2020-05-11
QOW81308,USA,2020-05-14
QOW81320,USA,2020-05-12
QOW81332,USA,2020-05-13
QOW81344,USA,2020-05-15
QOW81356,USA,2020-05-12
QOW81368,USA,2020-05-11
QOW81380,USA,2020-05-13
QOW81392,USA,2020-05-11
QOW81404,USA,2020-05-11
QOW81416,USA,2020-05-27
QOW81428,USA,2020-05-22
QOW81440,USA,2020-05-23
QOW81452,USA,2020-05-27
QOW81464,USA,2020-05-27
QOW81476,USA,2020-05-23
QOW81488,USA,2020-05-23
QOW81500,USA,2020-05-26
QOW81512,USA,2020-05-28
QOW81524,USA,2020-05-30
QOW81536,USA,2020-05-27
QOW81548,USA,2020-05-30
QOW81560,USA,2020-05-30
QOW81572,USA,2020-05-27
QOW81584,USA,2020-05-30
QOW81596,USA,2020-05-31
QOW81608,USA,2020-05-31
QOW81620,USA,2020-05-23
QOW81632,USA,2020-05-28
QOW81644,USA,2020-05-15
QOW81656,USA,2020-05-15
QOW81668,USA,2020-05-14
QOW81680,USA,2020-05-14
QOW81692,USA,2020-05-14
QOW81704,USA,2020-05-15
QOW81716,USA,2020-05-14
QOW81728,USA,2020-05-12
QOW81740,USA,2020-05-16
QOW81752,USA,2020-05-14
QOW81764,USA,2020-05-13
QOW81776,USA,2020-05-14
QOW81788,USA,2020-05-13
QOW81800,USA,2020-05-15
QOW81812,USA,2020-05-15
QOW81824,USA,2020-05-14
QOW81836,USA,2020-05-14
QOW81848,USA,2020-05-15
QOW81860,USA,2020-05-14
QOW81872,USA,2020-05-14
QOW81884,USA,2020-05-17
QOW81896,USA,2020-06-22
QOW81908,USA,2020-05-16
QOW81920,USA,2020-05-16
QOW81932,USA,2020-05-14
QOW81944,USA,2020-05-16
QOW81956,USA,2020-05-17
QOW81968,USA,2020-05-14
QOW81980,USA,2020-05-17
QOW81992,USA,2020-05-17
QOW82004,USA,2020-06-22
QOW82016,USA,2020-05-15
QOW82028,USA,2020-05-16
QOW82040,USA,2020-05-17
QOW82052,USA,2020-05-17
QOW82064,USA,2020-05-17
QOW82076,USA,2020-06-22
QOW82088,USA,2020-06-22
QOW82100,USA,2020-05-14
QOW82112,USA,2020-05-18
QOW82124,USA,2020-05-16
QOW82136,USA,2020-05-17
QOW82148,USA,2020-06-22
QOW82160,USA,2020-05-16
QOW82172,USA,2020-05-27
QOW82220,USA,2020-06-19
QOW82244,USA,2020-07-18
QOW82256,USA,2020-07-18
QOW82268,USA,2020-07-14
QOW82280,USA,2020-07-19
QOW82292,USA,2020-07-19
QOW82304,USA,2020-07-18
QOW82327,USA,2020-07-19
QOW82339,USA,2020-07-19
QOW82351,USA,2020-07-18
QOW82363,USA,2020-07-18
QOW82375,USA,2020-07-18
QOW82387,USA,2020-07-18
QOW82399,USA,2020-07-18
QOW82411,USA,2020-07-18
QOW82423,USA,2020-07-18
QOW82435,USA,2020-07-18
QOW82447,USA,2020-07-18
QOW82459,USA,2020-07-18
QOW82471,USA,2020-07-18
QOW82483,USA,2020-07-19
QOW82495,USA,2020-07-18
QOW82507,USA,2020-07-19
QOW82519,USA,2020-07-18
QOW82531,USA,2020-07-18
QOW82543,USA,2020-07-18
QOW82555,USA,2020-07-18
QOW82567,USA,2020-07-19
QOW82579,USA,2020-07-19
QOW82591,USA,2020-07-19
QOW82603,USA,2020-07-19
QOW82615,USA,2020-07-19
QOW82627,USA,2020-07-19
QOW82639,USA,2020-07-18
QOW82651,USA,2020-07-18
QOW82663,USA,2020-07-19
QOW82675,USA,2020-07-19
QOW82687,USA,2020-07-19
QOW82699,USA,2020-07-18
QOW82711,USA,2020-07-18
QOW82723,USA,2020-07-18
QOW82735,USA,2020-07-18
QOW82747,USA,2020-07-19
QOW82759,USA,2020-07-18
QOW82771,USA,2020-07-19
QOW82783,USA,2020-07-18
QOW82795,USA,2020-07-19
QOW82807,USA,2020-07-18
QOW82819,USA,2020-07-19
QOW82831,USA,2020-07-18
QOW82843,USA,2020-07-16
QOW82855,USA,2020-07-26
QOW82867,USA,2020-07-26
QOW82879,USA,2020-07-25
QOW82891,USA,2020-07-27
QOW82903,USA,2020-07-26
QOW82915,USA,2020-07-26
QOW82927,USA,2020-07-25
QOW82939,USA,2020-07-26
QOW82962,USA,2020-07-27
QOW82974,USA,2020-07-26
QOW82986,USA,2020-07-27
QOW82998,USA,2020-07-25
QOW83010,USA,2020-07-25
QOW83022,USA,2020-07-27
QOW83034,USA,2020-07-27
QOW83046,USA,2020-07-27
QOW83058,USA,2020-07-27
QOW83070,USA,2020-07-27
QOW83082,USA,2020-07-27
QOW83094,USA,2020-07-26
QOW83106,USA,2020-07-25
QOW83118,USA,2020-07-27
QOW83130,USA,2020-07-27
QOW83142,USA,2020-07-26
QOW83154,USA,2020-07-27
QOW83166,USA,2020-07-26
QOW83178,USA,2020-07-27
QOW83190,USA,2020-07-27
QOW83202,USA,2020-07-26
QOW83214,USA,2020-07-27
QOW83226,USA,2020-07-27
QOW84171,USA: FL,2020-09-30
QOW84195,USA: FL,2020-10-01
QOW84219,USA: FL,2020-09-30
QOW84302,USA: FL,2020-09-30
QOW84361,USA: FL,2020-10-01
QOW84373,USA: FL,2020-10-01
QOW84397,USA: FL,2020-10-01
QOW84409,USA: FL,2020-10-01
QOW84528,USA: FL,2020-10-02
QOW84564,USA: FL,2020-10-02
QOW84588,USA: FL,2020-10-02
QOW84600,USA: FL,2020-10-02
QOW84672,USA: FL,2020-10-02
QOW84768,USA: FL,2020-10-02
QOW84780,USA: FL,2020-10-02
QOW84792,USA: FL,2020-10-02
QOW84828,USA: FL,2020-10-02
QOW84852,USA: FL,2020-10-04
QOW84864,USA: FL,2020-10-02
QOW84888,USA: FL,2020-10-05
QOW84900,USA: FL,2020-04-24
QOW84912,USA: FL,2020-04-24
QOW85131,USA: FL,2020-04-08
QOW85143,USA: FL,2020-04-08
QOW85155,USA: FL,2020-04-08
QOW85179,USA: FL,2020-04-08
QOW85203,USA: FL,2020-04-08
QOW85215,USA: FL,2020-04-08
QOW85238,USA: FL,2020-04-08
QOW85262,USA: FL,2020-04-08
QOW85286,USA: FL,2020-04-08
